controller,time_s,target_x_px,target_y_px,end_effector_x_px,end_effector_y_px,target_error_px,q_error_norm_rad,sliding_norm,tracking_lyapunov,augmented_lyapunov,clearance_px,reference_clearance_px,collision,saturated,q1,q2,q3,dq1,dq2,dq3,q_d1,q_d2,q_d3,dq_d1,dq_d2,dq_d3,dq_r1,dq_r2,dq_r3,ddq_r1,ddq_r2,ddq_r3,tau1,tau2,tau3,tau_raw1,tau_raw2,tau_raw3,inertia_hat1,inertia_hat2,inertia_hat3,damping_hat1,damping_hat2,damping_hat3,bias_hat1,bias_hat2,bias_hat3,disturbance1,disturbance2,disturbance3
adaptive,1.4000000000000001,420.3960571480289,758.3994702987306,331.10041210016914,525.0582480411681,249.84362755364916,2.0643250529310344,15.125771901041778,133.50139126317984,1851.3249392289595,1000000.0,1000000.0,0,1,-1.7771714716508666,-2.220807907403135,2.312044208465652,5.325097553219272,4.835620452789989,-13.72759931347644,3.0568662097772794,-1.2335918927765486,1.222634449282964,-0.3652529111783813,-0.9458922717538272,0.3057668832159394,-3.2635481626812615,1.0285397574993453,-1.8730526351494368,-12.424943379657872,-8.647817910934592,25.77820445129219,-60.0,-60.0,60.0,-430.91548641454517,-267.97063244095784,801.4018764119926,30.0,30.0,30.0,0.0,0.0,0.0,6.635310729405799,-6.692227668242518,7.50789716175421,30.912879388469108,-19.731015622230892,6.513696910345647
adaptive,1.5,408.4884642001243,759.7244485264459,395.64335744685843,552.4701831830588,207.65193779623132,3.283315810137842,22.31043522883134,140.22259536983958,2248.0017975541477,1000000.0,1000000.0,0,1,-1.9042555071727607,-2.8329310125139577,-2.492964774321586,-2.064073663116062,-7.319537285016698,15.0,3.009898494150816,-1.299029044570401,1.2303258581836323,-0.46967715626463796,-0.6543715179385231,0.07691408900668266,-3.207739767976657,2.4134324179485906,-5.042875260342053,2.835353791118407,16.68495579909343,-31.517818058412004,60.0,60.0,-60.0,68.98671266021267,545.3352226999426,-1011.2743372266082,30.0,30.0,30.0,0.0,0.0,0.0,9.21190444417596,-5.854669915278576,5.611169693221889,33.44199979097265,-13.569724587587032,6.089879529339612
adaptive,1.6,396.4960573238453,759.9530963345655,374.00622209189123,513.0450873748063,247.93014656800617,2.563018837908895,15.420379438785723,134.03194162096042,1982.212457219684,1000000.0,1000000.0,0,1,-1.3589345979501768,-2.368847742108791,2.4984534812686814,5.313723417846045,5.7249769852841235,-13.9144492910174,2.9593963862985078,-1.3309199537148824,1.2213008047200464,-0.5050210785230821,-0.3189090914448151,-0.09025053463585435,-4.434729724384885,1.7569464853430021,-2.6445558877331243,-11.395285083273263,-9.45648760495075,26.80055552512061,-60.0,-60.0,60.0,-400.6324367761694,-291.5708268983561,829.0083162285945,29.35146039476198,30.0,30.0,0.354091662966193,0.0,0.0,9.55500427563414,-7.995923249930939,8.818029734876617,33.904224219610434,-12.27473778760578,6.015341564656637
adaptive,1.7000000000000002,384.53866068453704,759.0831291497716,423.89671702388824,558.9474228299008,203.96901123201314,3.710291725210512,23.45460326595131,152.43644013204946,2425.2247681220524,1000000.0,1000000.0,0,1,-1.50945809264259,-2.9618547240539885,-2.312457200921556,-2.273334619068022,-7.646021642154181,15.0,2.91131631754085,-1.3364980173742926,1.203797331380036,-0.48080068757658284,-0.05578063659410243,-0.17503473340010206,-4.205622481568875,3.1949327767652895,-5.70889628315609,4.343983137178516,16.89531595692882,-30.576543143681224,60.0,60.0,-60.0,106.24622672204696,557.3462529234863,-986.4378299502561,30.0,30.0,30.0,0.0,0.0,0.0,12.47954021830342,-7.1229565399438926,7.014846790351133,32.186384013611416,-16.826075414955103,6.296741270689072
adaptive,1.8,372.73574863682956,757.1232393966014,411.91059235941725,522.8556789188636,237.52043758986235,3.120992701711245,14.813407476429967,119.30786981045053,1957.1973676798316,1000000.0,1000000.0,0,1,-0.9783964472047879,-2.5765600107074427,2.6839737835619903,5.120359296678127,4.481647017665725,-13.58742008874297,2.8708254015251473,-1.3249277415756162,1.184029121271216,-0.404909160157019,0.11570275798676388,-0.19768210108820417,-5.272836077056321,2.6189672962504167,-3.1975714256697527,-9.938438747979541,-7.901869247814507,26.978160016452247,-60.0,-60.0,60.0,-353.51339768601656,-234.99882980799026,830.1860762871308,28.321234821824316,30.0,30.0,0.6589105337742212,0.0,0.0,13.059226577053677,-9.507966512106176,10.328270195656108,28.709066367175808,-23.77937589118773,6.908942049776051
adaptive,1.9000000000000001,361.2052519763796,754.0930096456156,455.3576672051377,569.575541274115,207.1506056656272,4.230315442033894,24.972532760128757,169.67597739435962,2718.8681444173762,1000000.0,1000000.0,0,1,-1.2252817268062097,2.9733745484522114,-2.1229619441015553,-3.0514097365972788,-8.938329342257914,15.0,2.8414554671663534,-1.3050572730615058,1.166247751573823,-0.2936993435879438,0.19870468514110531,-0.17781369697393268,-4.72659557000199,4.208211656472844,-6.165764919982348,6.803695090059236,18.38118967071635,-29.883715417190864,60.0,60.0,-60.0,179.0597377013488,613.1200310898083,-968.6746516852374,30.0,30.0,30.0,0.0,0.0,0.0,15.0,-9.098176973394809,8.665894409564393,24.323639915843717,-27.872520040653146,7.79725782960945
adaptive,2.0,350.0623796143429,750.022716950825,435.64075323709,550.05655604613,217.50890450479693,3.6748817307976367,13.925281044423196,107.60640568670875,1863.3153595517747,1000000.0,1000000.0,0,1,-0.7427984133639041,-3.036307148194416,2.9027803696887213,4.788766217339905,3.950721438696207,-12.904508550928822,2.824968275847965,-1.284115588388212,1.1531855016439998,-0.16487191318388716,0.2094168467329364,-0.13062249929823253,-5.5957091491193225,3.7137999663453445,-3.6298122353876754,-8.592535381178127,-7.890986754279556,26.181943338991704,-60.0,-60.0,60.0,-311.824514021887,-225.68687252467456,801.229972319613,27.720509274065517,30.0,30.0,0.7667517543991446,0.0,0.0,15.0,-11.990415993115576,12.05241679676157,20.103810001995672,-26.00789797417341,8.882338007204297
adaptive,2.1,339.4184674480171,744.9530303313761,487.34611458208263,571.6194622125674,227.87521722078137,4.594745592783834,16.501588103037303,170.5650033371826,1859.2404414888406,1000000.0,1000000.0,0,1,-1.0889705746808591,2.518122872876729,-1.8938463697531147,-3.9358556337007267,-8.650063936898054,15.0,2.821628493328271,-1.2672576794184485,1.1464649640714821,-0.03339782519694129,0.16857908969763497,-0.06720537572518012,-4.778570303537853,5.164188599466453,6.013417291924013,9.043055814715013,16.920193046969967,-29.422712018524862,60.0,60.0,-60.0,251.2353864224276,574.8010948237554,-920.2095740662488,30.0,30.0,30.0,0.0,0.0,0.0,15.0,-11.938293269198386,10.568465386274987,17.08273816025497,-19.59661849754548,10.067255601937402
adaptive,2.2,329.3798659293585,738.9346044201549,453.46233279254307,568.1082202454139,211.13529338570916,4.0520505249413565,13.038887848210644,106.07264125430157,1772.883882668107,1000000.0,1000000.0,0,1,-0.6918200310099105,2.857935281472188,-3.1117641845106454,4.732164050860535,5.168727623816503,-12.180312419622233,2.8306701127856515,-1.2575707005108991,1.1468614138282192,0.09041619457380284,0.09686978907549379,0.003964497567369812,-5.430974132194247,4.432228439468491,-4.045154920114073,-8.153179029161599,-11.022585835378587,25.111036537277155,-60.0,-60.0,60.0,-305.79323934399105,-318.64614297155106,765.7302499972719,28.475856840956745,30.0,30.0,0.4975204921321054,0.0,0.0,15.0,-14.977428827198578,12.006318619567145,16.00008814104367,-13.490610099943158,11.246165454053514
adaptive,2.3000000000000003,320.04687744642104,732.0275733394392,507.10789156592955,566.9763865509163,249.4668660638499,4.590617558592307,17.16083613193222,171.65526958388463,1940.6303629553124,1000000.0,1000000.0,0,1,-1.074103823821797,2.2266390361093196,-1.6155154953857813,-4.5577434432995,-8.760743149274768,15.0,2.8510148990771507,-1.2566724232623154,1.1546826906139351,0.2034478629149894,0.008982772485836912,0.07821276785716462,-4.512685305646288,5.60873046810174,5.618609139856598,10.542717075717134,16.58269667204275,-29.09602258841397,60.0,60.0,-60.0,301.5518610974333,569.7741936374306,-911.7295436524952,30.0,30.0,30.0,0.0,0.0,0.0,15.0,-14.815399006642016,10.704693419645839,17.12093042780415,-12.310778203983077,12.3137590575528
